369853255920200,37wan,18028,1
651346569831270,37wan,18030,1
369853255920200,37wan,18026,1
369853255920200,37wan,18024,1
651338569492659,37wan,18009,1
651338569492659,37wan,18007,2
651338569492659,37wan,18008,1
369985145992588,37wan,18028,1
651334842468460,37wan,18005,2
651334842468460,37wan,18002,1
369985145992588,37wan,18029,1
369853241535344,37wan,18005,1
651338569492659,37wan,18002,2
651328557319851,37wan,18031,1
651338569492659,37wan,18006,1
369853241535344,37wan,18009,2
651338569492659,37wan,18005,1
369985145992588,37wan,18031,1
651338569492659,37wan,18004,2
370127134006233,37wan,18010,1
370127134006233,37wan,18012,1
369853241535344,37wan,18000,1
369912337765872,37wan,18001,1
651334842468460,37wan,18010,1
369853255920200,37wan,18019,1
369853255920200,37wan,18018,1
369853255920200,37wan,18013,1
370127134006233,37wan,18026,1
369912337765872,37wan,18005,2
369853255920200,37wan,18012,1
369912337765872,37wan,18004,2
651346569831270,37wan,18026,1
651338569492659,37wan,18019,1
651334923288402,37wan,18007,1
651334923288402,37wan,18002,1
651334923288402,37wan,18003,2
651338569492659,37wan,18011,1
651338569492659,37wan,18013,2
651328557319851,37wan,18020,2
651328557319851,37wan,18023,1
651338569492659,37wan,18016,2
369915187941879,37wan,18019,1
369915187941879,37wan,18017,1
651328557319851,37wan,18027,1
370193517206568,37wan,18001,1
369912337765872,37wan,18014,1
651346569831270,37wan,18014,1
370041839362970,37wan,18000,1
369912337765872,37wan,18016,3
369912337765872,37wan,18015,1
651334842468460,37wan,18022,1
369912337765872,37wan,18010,4
370217225351328,37wan,18030,1
369985145992588,37wan,18009,1
651334842468460,37wan,18020,1
369912337765872,37wan,18011,1
651334923288402,37wan,18012,1
369897213103012,37wan,18028,1
651334923288402,37wan,18013,1
651334923288402,37wan,18014,1
651334923288402,37wan,18016,2
651334923288402,37wan,18017,1
651334923288402,37wan,18019,2
651338569492659,37wan,18029,1
369897213103012,37wan,18031,1
651338569492659,37wan,18026,2
651338569492659,37wan,18025,2
651338569492659,37wan,18024,1
369853241535344,37wan,18028,1
651338569492659,37wan,18023,2
651338569492659,37wan,18021,1
370041839362970,37wan,18009,1
369912337765872,37wan,18006,3
369912337765872,37wan,18007,2
369912337765872,37wan,18009,2
369912337765872,37wan,18026,1
369912337765872,37wan,18025,1
370129856051296,37wan,18001,1
369912337765872,37wan,18023,1
369912337765872,37wan,18022,2
651334923288402,37wan,18023,1
369912337765872,37wan,18020,1
370201020495732,37wan,18015,1
369928061556432,37wan,18030,1
369985145992588,37wan,18019,1
369928061556432,37wan,18031,2
651334923288402,37wan,18024,1
651346569831270,37wan,18004,1
369985145992588,37wan,18015,1
651334923288402,37wan,18028,1
651334923288402,37wan,18029,1
369915187941879,37wan,18030,1
651330058521284,37wan,18003,1
651330058521284,37wan,18004,1
651330058521284,37wan,18005,1
651338569492659,37wan,18031,2
651338569492659,37wan,18030,1
370217225351328,37wan,18015,1
651330058521284,37wan,18002,1
369912337765872,37wan,18018,2
369897213103012,37wan,18009,1
370232148636911,37wan,18007,1
369897213103012,37wan,18007,1
